time,evt_type,go,brake_rt,sec_rt,sdlp1,sdlp2,segnum,pathnum,on_exit
688.27000,1,0,0.58700,nan,0.01800,0.02200,40,6,False
695.98300,1,0,0.61900,nan,0.02000,0.04300,40,6,False
702.19400,3,1,1.00800,0.96000,0.03700,0.04900,49,6,False
708.30900,2,1,nan,0.98200,0.02900,0.13400,33,6,False
714.92300,3,1,0.95500,0.87500,0.01600,0.02900,33,6,False
722.53800,3,1,0.77800,0.84200,0.01000,0.04700,30,6,False
728.65200,1,0,0.68200,nan,0.01600,0.03500,31,6,False
736.46600,2,1,nan,0.97600,0.08300,0.05900,36,6,False
742.97700,1,0,0.54900,nan,0.01400,0.05100,36,6,False
750.88800,1,0,0.59200,nan,0.00900,0.03200,36,6,False
757.90400,1,0,0.66700,nan,0.02800,0.01700,36,6,False
764.11700,2,0,nan,nan,0.07100,0.02000,26,6,False
770.22800,3,1,0.88500,0.88500,0.02800,0.07200,23,6,False
777.34300,3,1,0.77400,0.75800,0.06000,0.04500,23,6,False
785.25500,1,0,0.71500,nan,0.00500,0.06500,23,6,False
793.16700,2,0,nan,nan,0.06200,0.03800,23,6,False
800.78000,3,0,1.16400,nan,0.05800,0.06600,22,6,False
808.29400,3,1,0.81600,0.81600,0.01500,0.04900,15,6,False
815.70500,2,0,nan,nan,0.05400,0.01500,15,6,False
822.71700,3,1,0.69500,0.83900,0.04000,0.09700,15,6,False
829.73200,2,1,nan,1.08300,0.02600,0.03000,24,6,False
836.84800,2,1,nan,1.05600,0.02000,0.06300,8,6,False
844.15900,3,1,0.78500,0.73700,0.04300,0.01800,5,6,False
850.77300,2,1,nan,0.98200,0.03000,0.01200,6,6,False
858.28800,3,1,0.85500,0.87100,0.06100,0.02800,11,6,False
866.00000,1,0,nan,nan,0.18000,0.14900,11,6,False
872.71300,1,0,0.70400,nan,0.00100,0.05300,11,6,False
879.52600,2,1,nan,0.90600,0.03800,0.00900,11,6,False
887.13800,3,0,1.20600,nan,0.07700,0.10200,13,6,False
893.25400,2,0,nan,nan,0.14300,0.14900,99,2,False
901.07000,1,0,0.55600,nan,0.07800,0.11100,100,2,False
