campagna,MedianWeight,MeanWeight,TemperatureC,DOmgL,pH,Year,Monthnumber,Week,Dayofmonth,Hour,SpConducibilitymicroScm,DOoutmgLTARGET,pHout,ConducibilitymicroScm,DOsat,DOlocal,SpConducibilitymicroScmOUT,Tagliag,Biomassakg,quantomangimekg,timestamped,y_test,predicted
3843,3,269.0,265.8133333333333,15.079,12.0,8.25,2020,8,35,26,0,177.9,10.4,7.8,147.1,104.5,104.5,179.5,321.37,9633.0,0.0,2020.0_35.0_26.0_0.0,10.399999,9.877482
1663,3,300.0,324.99999999999994,14.099,14.21,8.0,2020,7,29,14,9,173.8,12.93,7.76,137.6,126.9,126.9,172.2,310.29,11731.0,0.0,2020.0_29.0_14.0_9.0,12.93,11.526755
1829,3,239.0,252.36842105263156,12.488,15.02,8.04,2020,7,29,16,8,174.7,13.37,7.69,134.4,126.2,126.2,175.5,310.29,11659.0,0.0,2020.0_29.0_16.0_8.0,13.37,12.584086
3654,3,269.0,277.1590909090909,16.084,12.16,8.23,2020,8,34,22,8,175.1,10.77,7.66,149.3,110.4,110.4,178.0,318.27,9838.0,0.0,2020.0_34.0_22.0_8.0,10.77,12.24331
4421,3,298.0,298.5257731958762,11.401,13.24,8.4,2020,9,36,3,9,197.7,10.36,7.78,149.3,95.1,95.1,201.2,332.88,9575.0,87.5,2020.0_36.0_3.0_9.0,10.36,10.685171
2840,3,261.5,254.72222222222217,15.505,11.67,7.9,2020,7,31,27,3,176.2,10.15,7.63,146.4,102.4,102.4,177.8,310.29,11017.0,0.0,2020.0_31.0_27.0_3.0,10.15,10.918687
1010,3,266.0,290.2,15.415,13.72,7.78,2020,7,28,8,2,175.0,11.19,7.56,145.8,113.5,113.5,176.0,310.29,12052.0,0.0,2020.0_28.0_8.0_2.0,11.19,11.492919
708,3,262.0,270.4210526315789,13.291324189953633,12.693286178107664,7.979475398594275,2020,7,27,4,7,176.33684640522856,11.82,7.57,136.3,114.4,114.4,173.1,310.29,12242.0,0.0,2020.0_27.0_4.0_7.0,11.82,11.592878
825,3,288.0,282.8313253012048,13.291324189953633,12.693286178107664,7.979475398594275,2020,7,27,5,10,176.33684640522856,12.51,7.76,142.0,124.6,124.6,174.8,310.29,12188.0,0.0,2020.0_27.0_5.0_10.0,12.51,11.194097
3603,3,328.0,283.4615384615384,17.167,11.65,8.12,2020,8,34,22,2,179.6,10.17,7.57,155.5,107.1,107.1,180.2,318.27,9838.0,0.0,2020.0_34.0_22.0_2.0,10.170001,10.3629265
2916,3,361.0,328.4666666666667,16.152,11.39,7.85,2020,7,31,28,1,177.2,9.91,7.65,149.0,101.7,101.7,177.6,310.29,10962.0,0.0,2020.0_31.0_28.0_1.0,9.909999,10.4645
2138,3,246.0,252.2,13.27,14.56,7.99,2020,7,29,19,8,178.5,12.94,7.67,140.4,125.2,125.2,178.4,310.29,11523.0,0.0,2020.0_29.0_19.0_8.0,12.94,12.732224
717,3,281.0,275.9375,13.291324189953633,12.693286178107664,7.979475398594275,2020,7,27,4,8,176.33684640522856,12.43,7.64,135.9,120.2,120.2,172.8,310.29,12242.0,0.0,2020.0_27.0_4.0_8.0,12.429999,11.313891
4337,3,287.0,292.1080139372821,11.943,12.98,8.37,2020,9,36,2,9,196.7,11.25,7.91,148.7,104.7,104.7,197.2,329.97,9637.0,87.5,2020.0_36.0_2.0_9.0,11.25,12.02788
4366,3,231.5,242.33333333333337,12.261,12.93,8.34,2020,9,36,3,2,199.1,11.3,7.93,153.3,106.2,106.2,201.3,332.88,9575.0,0.0,2020.0_36.0_3.0_2.0,11.3,11.295123
4189,3,332.0,330.2857142857142,11.125,13.47,8.38,2020,9,36,1,5,185.3,12.42,8.01,136.4,113.4,113.4,184.9,329.97,9671.0,0.0,2020.0_36.0_1.0_5.0,12.42,11.478068
2201,3,209.0,205.6428571428571,15.253,13.89,7.86,2020,7,30,20,3,179.0,12.01,7.59,147.8,120.9,120.9,179.9,310.29,11481.0,0.0,2020.0_30.0_20.0_3.0,12.01,11.96138
1156,3,226.5,221.25,14.255,13.94,7.83,2020,7,28,9,7,175.2,11.96,7.58,142.1,118.0,118.0,176.7,310.29,11990.0,0.0,2020.0_28.0_9.0_7.0,11.96,10.980513
767,3,182.0,182.0,13.291324189953633,12.693286178107664,7.979475398594275,2020,7,27,5,2,176.33684640522856,10.98,7.55,147.9,112.6,112.6,176.3,310.29,12188.0,0.0,2020.0_27.0_5.0_2.0,10.98,12.067211
1234,3,257.5,251.81249999999997,15.606,14.4,8.12,2020,7,28,10,10,176.9,13.12,7.8,145.5,133.2,133.2,175.3,310.29,11888.0,0.0,2020.0_28.0_10.0_10.0,13.12,12.64249
2917,3,265.0,277.5,16.072,11.44,7.85,2020,7,31,28,2,177.1,9.91,7.64,148.8,101.6,101.6,177.5,310.29,10962.0,0.0,2020.0_31.0_28.0_2.0,9.909999,10.957431
2472,3,252.5,264.38000000000005,14.342,14.15,8.15,2020,7,30,22,9,175.7,13.03,7.78,142.0,128.1,128.1,177.4,310.29,11390.0,0.0,2020.0_30.0_22.0_9.0,13.03,11.318605
2166,3,269.5,266.40566037735874,14.478,14.6,8.29,2020,7,29,19,11,177.6,14.53,8.1,141.1,142.6,142.6,176.5,310.29,11523.0,0.0,2020.0_29.0_19.0_11.0,14.53,12.697962
3573,3,284.0,291.2454545454545,16.387,12.19,8.4,2020,8,34,21,10,173.5,11.49,7.85,149.1,118.1,118.1,177.4,318.27,9975.0,0.0,2020.0_34.0_21.0_10.0,11.49,11.04434
3521,3,267.0,265.84313725490193,16.364,11.69,8.15,2020,8,34,21,5,175.5,10.47,7.68,151.4,107.8,107.8,179.7,318.27,9975.0,0.0,2020.0_34.0_21.0_5.0,10.47,11.164272
3473,3,28.0,28.0,15.677,11.79,8.17,2020,8,31,2,9,160.8,10.48,7.69,131.8,106.7,106.7,158.3,310.29,10803.0,0.0,2020.0_31.0_2.0_9.0,10.48,10.460126
3023,3,291.0,249.2,17.43,11.32,7.92,2020,7,31,29,1,172.1,9.52,7.67,153.0,100.3,100.3,177.2,310.29,10921.0,0.0,2020.0_31.0_29.0_1.0,9.52,8.652345
1110,3,222.0,247.27272727272728,15.506,13.77,7.8,2020,7,28,9,2,176.9,11.38,7.54,148.6,116.3,116.3,177.9,310.29,11990.0,0.0,2020.0_28.0_9.0_2.0,11.38,11.391618
3652,3,269.0,277.1590909090909,16.125,12.06,8.17,2020,8,34,22,8,174.7,10.77,7.66,149.3,110.4,110.4,178.0,318.27,9838.0,0.0,2020.0_34.0_22.0_8.0,10.77,10.572585
1897,3,298.0,298.0,14.382,14.11,7.87,2020,7,29,17,3,177.8,12.22,7.61,143.6,120.1,120.1,179.3,310.29,11602.0,0.0,2020.0_29.0_17.0_3.0,12.22,11.010696
3434,3,433.0,433.0,17.226,10.58,8.04,2020,8,31,2,3,163.8,9.61,7.61,145.2,100.7,100.7,169.0,310.29,10803.0,0.0,2020.0_31.0_2.0_3.0,9.61,11.400759
2756,3,158.5,179.75,12.629,13.65,7.93,2020,7,30,25,5,165.3,12.33,7.7,125.1,117.2,117.2,162.2,310.29,11088.0,0.0,2020.0_30.0_25.0_5.0,12.33,10.898745
1992,3,246.0,256.3,14.763,14.03,7.88,2020,7,29,18,4,178.2,12.05,7.62,146.7,120.5,120.5,179.7,310.29,11560.0,0.0,2020.0_29.0_18.0_4.0,12.05,12.285589
1574,3,341.5,351.31666666666666,14.566,14.1,8.2,2020,7,29,13,11,173.5,13.57,8.0,140.4,134.2,134.2,174.1,310.29,11758.0,0.0,2020.0_29.0_13.0_11.0,13.57,12.283302
4489,3,327.0,307.50000000000006,13.469,11.45,8.29,2020,9,37,7,4,197.5,9.24,7.85,156.5,89.1,89.1,199.5,340.0,9733.0,0.0,2020.0_37.0_7.0_4.0,9.24,11.11513
2453,3,213.5,218.5480769230769,14.179,13.7,7.9,2020,7,30,22,7,177.2,12.04,7.62,142.7,118.5,118.5,177.9,310.29,11390.0,0.0,2020.0_30.0_22.0_7.0,12.04,12.142783
4291,3,282.0,280.71875000000006,12.255,12.74,8.34,2020,9,36,2,4,199.4,11.57,7.98,153.1,108.5,108.5,201.2,329.97,9637.0,0.0,2020.0_36.0_2.0_4.0,11.57,11.871386
1076,3,313.0,344.98850574712634,14.393,14.25,8.03,2020,7,28,8,9,173.6,12.19,7.67,140.5,120.4,120.4,174.6,310.29,12052.0,0.0,2020.0_28.0_8.0_9.0,12.19,12.48165
2620,3,232.0,235.8947368421053,16.655,12.72,7.83,2020,7,30,24,2,159.8,10.78,7.46,149.2,111.9,111.9,175.7,310.29,11314.0,0.0,2020.0_30.0_24.0_2.0,10.78,12.10551
3509,3,260.0,266.7560975609756,16.7,11.61,8.14,2020,8,34,21,3,172.4,10.41,7.69,152.3,107.7,107.7,179.8,318.27,9975.0,0.0,2020.0_34.0_21.0_3.0,10.41,10.813459
3642,3,243.0,265.25,16.16,12.0,8.14,2020,8,34,22,7,176.2,10.32,7.62,150.5,106.2,106.2,178.9,318.27,9838.0,0.0,2020.0_34.0_22.0_7.0,10.32,11.766917
769,3,182.0,182.0,13.291324189953633,12.693286178107664,7.979475398594275,2020,7,27,5,2,176.33684640522856,11.04,7.55,147.5,112.9,112.9,176.3,310.29,12188.0,0.0,2020.0_27.0_5.0_2.0,11.04,11.538678
4452,3,314.5,310.7155172413793,13.982,11.25,8.25,2020,9,37,7,0,198.6,8.06,7.79,160.3,79.2,79.2,200.2,340.0,9733.0,0.0,2020.0_37.0_7.0_0.0,8.06,10.674271
3634,3,262.0,253.2631578947368,16.493,11.79,8.12,2020,8,34,22,6,177.8,10.46,7.63,151.1,107.8,107.8,179.2,318.27,9838.0,0.0,2020.0_34.0_22.0_6.0,10.46,10.781626
4468,3,291.0,294.7708333333333,13.8,11.42,8.28,2020,9,37,7,2,197.3,8.79,7.82,158.0,85.5,85.5,199.5,340.0,9733.0,0.0,2020.0_37.0_7.0_2.0,8.79,10.995906
1422,3,332.0,337.13793103448273,13.005,14.12,7.84,2020,7,28,12,6,171.1,12.17,7.63,133.5,116.7,116.7,171.2,310.29,11798.0,0.0,2020.0_28.0_12.0_6.0,12.17,12.68386
4544,3,342.0,344.87458745874557,12.972,13.39,8.33,2020,9,37,7,10,196.6,6.92,7.58,154.6,65.9,65.9,199.9,340.0,9733.0,0.0,2020.0_37.0_7.0_10.0,6.92,9.114782
3136,3,376.0,342.0,17.377,11.04,7.9,2020,7,31,30,4,171.1,9.52,7.5,151.0,100.2,100.2,175.0,310.29,10865.0,0.0,2020.0_31.0_30.0_4.0,9.52,11.775126
2960,3,308.5,288.25000000000006,14.989,11.72,7.86,2020,7,31,28,6,178.3,10.1,7.61,144.9,101.2,101.2,177.2,310.29,10962.0,0.0,2020.0_31.0_28.0_6.0,10.1,9.633283
1674,3,361.5,367.99999999999994,14.124,14.15,8.08,2020,7,29,14,10,173.1,13.11,7.83,137.8,128.4,128.4,172.7,310.29,11731.0,0.0,2020.0_29.0_14.0_10.0,13.11,11.692165
4344,3,293.0,298.61259079903186,12.107,12.87,8.35,2020,9,36,2,10,197.2,11.1,7.9,149.7,103.4,103.4,198.3,329.97,9637.0,0.0,2020.0_36.0_2.0_10.0,11.099999,11.651848
1801,3,216.0,247.6,12.82,14.61,7.87,2020,7,29,16,5,174.9,12.83,7.62,136.1,122.2,122.2,175.9,310.29,11659.0,0.0,2020.0_29.0_16.0_5.0,12.830001,10.496575
2696,3,208.0,221.07042253521124,14.736,13.0,7.87,2020,7,30,24,10,160.2,11.44,7.65,137.2,113.8,113.8,169.1,310.29,11314.0,0.0,2020.0_30.0_24.0_10.0,11.44,11.73694
3296,3,281.0,284.875,18.009,10.78,7.98,2020,8,31,1,0,169.9,9.55,7.67,155.6,102.6,102.6,176.4,310.29,10843.0,0.0,2020.0_31.0_1.0_0.0,9.55,10.193033
4063,3,299.0,301.8048780487805,15.394,11.63,8.23,2020,8,35,28,5,180.6,9.51,7.73,148.7,95.7,95.7,181.0,327.23,9689.0,0.0,2020.0_35.0_28.0_5.0,9.51,9.940184
2169,3,269.5,266.40566037735874,14.478,14.6,8.29,2020,7,29,19,11,177.6,13.84,7.98,142.2,136.4,136.4,177.0,310.29,11523.0,0.0,2020.0_29.0_19.0_11.0,13.84,12.572983
3853,3,288.0,279.41463414634154,14.89,12.16,8.26,2020,8,35,26,2,177.7,10.49,7.76,146.3,104.6,104.6,179.8,321.37,9633.0,0.0,2020.0_35.0_26.0_2.0,10.49,11.351216
1325,3,137.5,144.92592592592587,15.945,13.98,7.94,2020,7,28,11,8,174.8,11.65,7.62,148.4,119.1,119.1,177.5,310.29,11845.0,0.0,2020.0_28.0_11.0_8.0,11.65,11.826157
4632,3,362.0,356.652,12.054,11.98,8.3,2020,9,37,8,8,196.2,9.0,7.78,151.2,84.0,84.0,200.1,342.96,9804.0,0.0,2020.0_37.0_8.0_8.0,9.0,10.891587
2074,3,249.0,268.27272727272725,15.353,13.8,7.81,2020,7,29,19,1,179.5,11.94,7.6,148.6,120.9,120.9,179.5,310.29,11523.0,0.0,2020.0_29.0_19.0_1.0,11.94,11.99443
853,3,95.0,95.0,13.291324189953633,12.693286178107664,7.979475398594275,2020,7,28,6,2,176.33684640522856,10.95,7.53,150.5,113.3,113.3,177.7,310.29,12143.0,0.0,2020.0_28.0_6.0_2.0,10.95,11.940606
4322,3,274.0,277.98765432098753,11.905,13.04,8.37,2020,9,36,2,8,194.8,11.48,7.94,149.8,106.9,106.9,198.7,329.97,9637.0,0.0,2020.0_36.0_2.0_8.0,11.48,10.977386
3457,3,206.0,206.0,16.299,11.02,8.0,2020,8,31,2,6,158.6,9.92,7.65,140.2,102.9,102.9,165.3,310.29,10803.0,0.0,2020.0_31.0_2.0_6.0,9.92,10.336251
4558,3,404.0,385.21153846153845,12.947,11.88,8.31,2020,9,37,8,0,194.7,9.42,7.86,154.6,89.7,89.7,199.9,342.96,9804.0,0.0,2020.0_37.0_8.0_0.0,9.42,9.95575
1073,3,313.0,344.98850574712634,14.393,14.25,8.03,2020,7,28,8,9,173.6,12.26,7.67,140.6,121.1,121.1,174.7,310.29,12052.0,0.0,2020.0_28.0_8.0_9.0,12.26,12.050843
2371,3,282.0,291.51546391752584,15.614,14.25,8.21,2020,7,30,21,10,179.8,13.63,7.91,148.3,138.3,138.3,178.8,310.29,11432.0,0.0,2020.0_30.0_21.0_10.0,13.629999,11.8795395
2383,3,277.0,292.1180555555556,16.146,14.06,8.32,2020,7,30,21,11,177.8,13.92,8.12,150.4,143.3,143.3,178.5,310.29,11432.0,0.0,2020.0_30.0_21.0_11.0,13.92,12.572237
3607,3,328.0,283.4615384615384,17.317,11.61,8.12,2020,8,34,22,2,179.7,10.18,7.57,154.8,106.9,106.9,180.0,318.27,9838.0,0.0,2020.0_34.0_22.0_2.0,10.18,11.425522
4444,3,329.5,329.6190476190477,12.083,12.86,8.36,2020,9,36,3,11,197.6,11.34,7.91,152.0,106.3,106.3,200.1,332.88,9575.0,0.0,2020.0_36.0_3.0_11.0,11.34,11.897975
2219,3,232.0,228.4615384615384,14.707,13.91,7.85,2020,7,30,20,5,177.8,12.21,7.61,146.3,121.8,121.8,179.7,310.29,11481.0,0.0,2020.0_30.0_20.0_5.0,12.210001,10.59203
1809,3,216.0,247.6,12.696,14.62,7.86,2020,7,29,16,5,174.9,12.85,7.62,135.6,122.1,122.1,175.7,310.29,11659.0,0.0,2020.0_29.0_16.0_5.0,12.85,11.7973795
4351,3,290.0,291.35211267605644,12.143,13.04,8.4,2020,9,36,2,11,197.0,11.33,7.94,150.1,105.8,105.8,198.5,329.97,9637.0,0.0,2020.0_36.0_2.0_11.0,11.33,10.676569
2595,3,322.5,321.3809523809523,15.77,14.1,8.32,2020,7,30,23,11,173.6,13.53,8.0,142.9,136.1,136.1,174.0,310.29,11390.0,0.0,2020.0_30.0_23.0_11.0,13.53,11.791872
1373,3,343.0,352.32584269662914,14.312,13.69,7.81,2020,7,28,12,1,169.2,11.42,7.6,135.1,112.9,112.9,167.6,310.29,11798.0,0.0,2020.0_28.0_12.0_1.0,11.42,11.04757
4532,3,340.0,343.67474048442915,12.986,12.29,8.22,2020,9,37,7,9,196.3,8.81,7.8,153.8,84.0,84.0,198.5,340.0,9733.0,87.5,2020.0_37.0_7.0_9.0,8.81,11.25889
1201,3,292.0,251.22222222222223,16.875,13.66,7.75,2020,7,28,10,0,176.5,11.23,7.6,151.9,117.3,117.3,177.7,310.29,11888.0,0.0,2020.0_28.0_10.0_0.0,11.23,11.607708
1334,3,148.0,145.55555555555563,15.947,14.01,8.03,2020,7,28,11,9,174.6,12.44,7.69,147.7,127.2,127.2,176.6,310.29,11845.0,0.0,2020.0_28.0_11.0_9.0,12.44,11.132707
3462,3,206.0,206.0,16.083,10.96,7.99,2020,8,31,2,6,158.8,9.83,7.64,139.7,101.7,101.7,165.0,310.29,10803.0,0.0,2020.0_31.0_2.0_6.0,9.83,10.274801
3441,3,302.0,312.8571428571429,16.741,10.8,8.0,2020,8,31,2,4,162.4,9.57,7.6,143.7,100.3,100.3,167.5,310.29,10803.0,0.0,2020.0_31.0_2.0_4.0,9.57,9.334264
1620,3,372.0,359.9230769230769,14.85,13.72,7.84,2020,7,29,14,4,171.8,11.85,7.62,144.8,118.3,118.3,177.8,310.29,11731.0,0.0,2020.0_29.0_14.0_4.0,11.850001,11.546163
3918,3,301.0,306.3103448275863,14.32,12.57,8.48,2020,8,35,26,10,176.9,10.07,7.69,142.0,98.5,98.5,178.3,321.37,9633.0,0.0,2020.0_35.0_26.0_10.0,10.07,10.677259
4430,3,305.0,314.62448979591846,11.726,11.98,8.19,2020,9,36,3,10,198.0,10.08,7.75,149.9,92.8,92.8,201.3,332.88,9575.0,0.0,2020.0_36.0_3.0_10.0,10.080001,10.859867
4638,3,354.0,357.03846153846195,12.276,12.19,8.28,2020,9,37,8,9,195.4,9.01,7.78,151.6,84.1,84.1,200.4,342.96,9804.0,110.0,2020.0_37.0_8.0_9.0,9.01,10.295955
953,3,364.0,368.4683544303796,13.291324189953633,12.693286178107664,7.979475398594275,2020,7,28,7,7,176.33684640522856,11.46,7.58,141.2,114.6,114.6,172.9,310.29,12096.0,0.0,2020.0_28.0_7.0_7.0,11.459999,11.439929
2815,3,277.0,282.27419354838696,13.866,12.35,8.17,2020,7,30,26,11,173.4,12.19,8.0,138.7,119.5,119.5,173.8,310.29,11058.0,0.0,2020.0_30.0_26.0_11.0,12.19,11.82132
3868,3,286.0,280.1904761904762,14.774,12.08,8.26,2020,8,35,26,3,176.9,10.67,7.79,144.9,105.8,105.8,179.3,321.37,9633.0,0.0,2020.0_35.0_26.0_3.0,10.67,11.512019
3280,3,342.0,370.90909090909093,16.286,11.96,8.26,2020,7,31,31,10,166.1,11.24,7.78,140.1,115.9,115.9,165.9,310.29,10862.0,0.0,2020.0_31.0_31.0_10.0,11.239999,10.490621
2717,3,212.5,231.15,13.568,13.3,7.88,2020,7,30,25,0,153.2,12.04,7.67,120.4,116.6,116.6,152.9,310.29,11088.0,0.0,2020.0_30.0_25.0_0.0,12.04,11.602478
2463,3,232.0,231.85964912280704,14.107,13.99,8.02,2020,7,30,22,8,176.4,12.39,7.67,142.1,121.7,121.7,177.7,310.29,11390.0,0.0,2020.0_30.0_22.0_8.0,12.39,11.661405
2130,3,239.0,243.96491228070175,13.302,14.4,7.92,2020,7,29,19,7,179.0,12.52,7.63,141.1,121.4,121.4,178.9,310.29,11523.0,0.0,2020.0_29.0_19.0_7.0,12.5199995,12.096281
2271,3,270.0,275.4039735099337,15.428,14.34,8.34,2020,7,30,20,11,177.3,14.1,8.03,144.2,140.4,140.4,177.5,310.29,11481.0,0.0,2020.0_30.0_20.0_11.0,14.1,11.429744
668,3,357.0,341.0,13.291324189953633,12.693286178107664,7.979475398594275,2020,7,27,4,3,176.33684640522856,11.69,7.57,139.2,115.1,115.1,173.3,310.29,12242.0,0.0,2020.0_27.0_4.0_3.0,11.69,10.530358
3321,3,263.0,257.0,17.298,10.88,7.97,2020,8,31,1,2,171.3,9.62,7.61,147.6,101.4,101.4,170.8,310.29,10843.0,0.0,2020.0_31.0_1.0_2.0,9.62,10.786812
3386,3,426.0,407.33333333333337,15.98,11.96,8.33,2020,8,31,1,10,172.5,11.15,7.77,144.5,113.9,113.9,173.1,310.29,10843.0,0.0,2020.0_31.0_1.0_10.0,11.149999,11.670825
4154,3,415.0,415.0,11.509,13.56,8.37,2020,9,36,1,1,178.2,12.38,8.0,131.2,114.4,114.4,175.5,329.97,9671.0,0.0,2020.0_36.0_1.0_1.0,12.38,11.563295
3583,3,299.0,284.3023255813952,17.815,11.44,8.1,2020,8,34,22,0,179.5,9.97,7.76,159.6,106.2,106.2,182.7,318.27,9838.0,0.0,2020.0_34.0_22.0_0.0,9.97,11.274066
2529,3,211.0,239.51020408163268,15.529,13.28,7.88,2020,7,30,23,3,173.2,11.54,7.62,144.1,116.9,116.9,174.2,310.29,11390.0,0.0,2020.0_30.0_23.0_3.0,11.54,12.060506
1600,3,346.0,337.27272727272725,15.37,13.68,7.86,2020,7,29,14,2,177.4,11.54,7.62,146.4,116.2,116.2,178.0,310.29,11731.0,0.0,2020.0_29.0_14.0_2.0,11.54,11.572377
1143,3,233.0,237.66666666666669,14.631,13.84,7.8,2020,7,28,9,5,175.6,11.68,7.54,144.2,116.3,116.3,177.6,310.29,11990.0,0.0,2020.0_28.0_9.0_5.0,11.679999,11.377657
2501,3,231.0,245.95698924731184,16.129,13.04,7.86,2020,7,30,23,0,170.7,11.36,7.61,140.1,116.4,116.4,167.1,310.29,11390.0,0.0,2020.0_30.0_23.0_0.0,11.36,11.497466
1747,3,257.0,263.3870967741936,12.726,14.83,7.97,2020,7,29,15,8,173.3,12.9,7.65,134.9,122.5,122.5,174.8,310.29,11696.0,0.0,2020.0_29.0_15.0_8.0,12.9,11.869029
1158,3,226.5,221.25,14.148,14.07,7.91,2020,7,28,9,7,174.9,11.96,7.58,142.1,118.0,118.0,176.7,310.29,11990.0,0.0,2020.0_28.0_9.0_7.0,11.96,12.0251665
4059,3,304.0,292.43999999999994,15.434,11.58,8.23,2020,8,35,28,4,180.5,9.51,7.76,148.9,95.9,95.9,180.9,327.23,9689.0,0.0,2020.0_35.0_28.0_4.0,9.51,11.07174
2349,3,250.0,250.12612612612608,15.234,13.9,7.91,2020,7,30,21,7,180.8,12.11,7.62,148.4,122.1,122.1,180.3,310.29,11432.0,0.0,2020.0_30.0_21.0_7.0,12.11,11.994149
4304,3,253.5,265.16666666666663,12.074,12.87,8.34,2020,9,36,2,6,194.4,11.56,7.97,152.0,108.0,108.0,200.7,329.97,9637.0,0.0,2020.0_36.0_2.0_6.0,11.56,12.076698
1487,3,362.0,360.9411764705883,15.076,13.76,7.84,2020,7,29,13,2,176.0,11.57,7.62,144.2,116.1,116.1,176.1,310.29,11758.0,0.0,2020.0_29.0_13.0_2.0,11.57,11.337379
2637,3,175.0,209.13333333333333,16.259,12.77,7.87,2020,7,30,24,3,169.2,10.69,7.44,128.5,110.3,110.3,152.1,310.29,11314.0,0.0,2020.0_30.0_24.0_3.0,10.69,11.295713
4007,3,317.0,319.69113149847095,14.716,12.41,8.45,2020,8,35,27,10,173.2,7.83,7.55,145.0,77.5,77.5,179.7,324.49,9670.0,0.0,2020.0_35.0_27.0_10.0,7.83,10.485701
781,3,264.0,264.0,13.291324189953633,12.693286178107664,7.979475398594275,2020,7,27,5,3,176.33684640522856,11.18,7.5,146.1,113.3,113.3,176.6,310.29,12188.0,0.0,2020.0_27.0_5.0_3.0,11.18,11.478112
4325,3,274.0,277.98765432098753,11.905,13.04,8.37,2020,9,36,2,8,194.8,11.02,7.89,148.7,102.6,102.6,197.3,329.97,9637.0,0.0,2020.0_36.0_2.0_8.0,11.02,11.020546
3557,3,289.0,294.288888888889,15.881,12.15,8.3,2020,8,34,21,9,169.8,10.81,7.6,148.1,110.3,110.3,177.4,318.27,9975.0,0.0,2020.0_34.0_21.0_9.0,10.81,9.469038
2781,3,210.5,214.96428571428572,12.273,13.8,7.96,2020,7,30,25,7,167.8,12.57,7.72,127.2,118.3,118.3,166.8,310.29,11088.0,0.0,2020.0_30.0_25.0_7.0,12.569999,11.662214
1673,3,361.5,367.99999999999994,14.105,14.14,8.07,2020,7,29,14,10,173.0,13.11,7.83,137.8,128.4,128.4,172.7,310.29,11731.0,0.0,2020.0_29.0_14.0_10.0,13.11,11.59899
4015,3,313.0,319.53853211009107,15.041,12.44,8.5,2020,8,35,27,11,170.9,10.78,7.86,144.2,107.4,107.4,177.4,324.49,9670.0,0.0,2020.0_35.0_27.0_11.0,10.78,11.696654
2394,3,180.0,184.2,15.63,13.27,7.87,2020,7,30,22,0,176.9,11.61,7.61,147.5,118.0,118.0,177.6,310.29,11390.0,0.0,2020.0_30.0_22.0_0.0,11.61,11.324427
1387,3,343.0,336.84905660377365,13.885,13.79,7.8,2020,7,28,12,3,168.9,11.69,7.62,134.9,114.4,114.4,169.4,310.29,11798.0,0.0,2020.0_28.0_12.0_3.0,11.69,11.620992
4074,3,310.5,316.59999999999997,15.19,11.65,8.22,2020,8,35,28,6,179.3,9.63,7.73,148.2,96.6,96.6,181.0,327.23,9689.0,0.0,2020.0_35.0_28.0_6.0,9.63,9.878202
2622,3,232.0,235.8947368421053,16.428,12.75,7.86,2020,7,30,24,2,166.9,10.78,7.46,149.2,111.9,111.9,175.7,310.29,11314.0,0.0,2020.0_30.0_24.0_2.0,10.78,11.474343
3336,3,266.0,311.8,16.622,11.13,7.95,2020,8,31,1,4,169.8,9.69,7.59,147.7,101.1,101.1,172.8,310.29,10843.0,0.0,2020.0_31.0_1.0_4.0,9.69,10.239942
2123,3,201.5,212.25,13.635,14.11,7.85,2020,7,29,19,6,180.2,12.34,7.61,142.0,120.1,120.1,179.1,310.29,11523.0,0.0,2020.0_29.0_19.0_6.0,12.340001,12.184218
4464,3,315.5,308.5888888888889,13.844,11.36,8.27,2020,9,37,7,1,197.4,8.26,7.79,159.0,80.6,80.6,200.0,340.0,9733.0,0.0,2020.0_37.0_7.0_1.0,8.26,10.064924
3254,3,387.0,387.0,16.172,11.58,8.03,2020,7,31,31,7,165.7,9.84,7.55,144.1,101.4,101.4,171.0,310.29,10862.0,0.0,2020.0_31.0_31.0_7.0,9.84,10.27107
4240,3,289.0,296.53846153846155,11.577,12.96,8.35,2020,9,36,1,11,187.5,11.7,7.91,140.0,107.8,107.8,187.9,329.97,9671.0,0.0,2020.0_36.0_1.0_11.0,11.7,10.837821
2147,3,236.0,244.10416666666663,13.378,14.72,8.1,2020,7,29,19,9,179.0,13.63,7.78,140.0,131.9,131.9,177.9,310.29,11523.0,0.0,2020.0_29.0_19.0_9.0,13.629999,13.333086
1448,3,285.5,290.1666666666666,13.053,14.64,8.09,2020,7,28,12,9,172.0,13.13,7.8,133.9,126.0,126.0,171.7,310.29,11798.0,0.0,2020.0_28.0_12.0_9.0,13.13,11.678186
961,3,294.0,343.2063492063493,13.291324189953633,12.693286178107664,7.979475398594275,2020,7,28,7,8,176.33684640522856,12.05,7.64,140.0,120.2,120.2,172.0,310.29,12096.0,0.0,2020.0_28.0_7.0_8.0,12.05,11.174629
2850,3,266.0,285.08695652173924,15.285,11.75,7.89,2020,7,31,27,4,176.3,10.16,7.63,146.1,102.2,102.2,177.9,310.29,11017.0,0.0,2020.0_31.0_27.0_4.0,10.16,10.952084
3908,3,292.0,291.474418604651,13.956,12.58,8.38,2020,8,35,26,9,177.3,10.96,7.79,141.7,106.9,106.9,178.4,321.37,9633.0,100.0,2020.0_35.0_26.0_9.0,10.96,11.29197
